id,domain_id,name,description,icon,sort_order
entrepreneur,business_entrepreneurship,Entrepreneur,"Building companies from scratch",,1
operator,business_entrepreneurship,Operator/CEO,"Running and scaling organizations",,2
investor,business_entrepreneurship,Investor,"Evaluating and funding ventures",,3
copywriter,marketing_sales,Copywriter,"Writing persuasive marketing copy",,1
marketer,marketing_sales,Marketer,"Growing audiences and driving demand",,2
salesperson,marketing_sales,Salesperson,"Closing deals and driving revenue",,3
brand_strategist,marketing_sales,"Brand Strategist","Building memorable brands",,4
software_engineer,technology_engineering,"Software Engineer","Building software applications",,1
ai_researcher,technology_engineering,"AI Researcher","Advancing AI/ML capabilities",,2
product_manager,technology_engineering,"Product Manager","Defining product strategy and roadmap",,3
data_scientist,technology_engineering,"Data Scientist","Extracting insights from data",,4
writer,creative_content,Writer,"Creating written content",,1
speaker,creative_content,Speaker/Presenter,"Public speaking and presentations",,2
designer,creative_content,Designer,"Visual and UX design",,3
video_producer,creative_content,"Video Producer","Video content creation",,4
strategist,strategy_consulting,Strategist,"Developing strategic plans",,1
consultant,strategy_consulting,Consultant,"Solving business problems",,2
coach,strategy_consulting,"Executive Coach","Developing leaders",,3
life_coach,personal_development,"Life Coach","Guiding personal growth",,1
philosopher,personal_development,Philosopher,"Exploring fundamental questions",,2
mindset_coach,personal_development,"Mindset Coach","Developing mental frameworks",,3
productivity_expert,personal_development,"Productivity Expert","Optimizing time and energy",,4
